#{"t_start": 1769553017.487848, "env_id": "None"}
r,l,t
0.28,96,1308.366065
0.8275,23,1308.444624
0.0,46,1308.46577
0.0,120,1308.506712
0.0,103,1308.561722
0.0,93,1308.630522
0.94,8,1308.638508
0.8575,19,1308.659189
0.0,120,1308.707208
0.9175,11,1308.71743
0.985,2,1308.73657
0.955,6,1308.775127
0.0,120,1308.939519
0.955,6,1308.985573
0.0,120,1308.985573
0.0,120,1309.036484
0.9175,11,1309.063257
0.64,48,1309.099649
0.9475,7,1331.302104
0.8125,25,1331.397265
0.0,120,1331.421882
0.0,120,1331.534484
0.0,120,1331.563128
0.2725,97,1331.592717
0.3175,91,1331.647761
0.5275,63,1331.655351
0.0,36,1331.734636
0.0,120,1331.758162
0.67,44,1331.770062
0.9325,9,1331.829159
0.88,16,1331.877931
0.7525,33,1331.89054
0.6475,47,1331.947472
0.9175,11,1331.956145
0.85,20,1331.963945
0.3325,89,1331.963945
