#{"t_start": 1769548066.3942976, "env_id": "None"}
r,l,t
0.325,90,382.927933
0.715,38,382.940343
0.925,10,382.949084
0.19,108,383.000157
0.2425,101,383.007096
0.0,31,383.007128
0.0,4,383.009979
0.0,120,383.018676
0.0,120,391.724845
0.0,89,391.751769
0.0,21,391.754862
0.0,59,391.754898
0.6325,49,391.757657
0.985,2,391.760261
0.955,6,391.769001
0.325,90,391.789241
0.0,41,391.799931
0.0,33,391.799963
0.0,120,391.802712
0.0,120,391.8123
0.0,48,391.815629
0.0,16,391.847185
0.67,44,391.859243
0.775,30,391.870086
0.0,120,391.890514
0.6925,41,391.893916
0.9475,7,391.906421
0.9175,11,391.917116
0.76,32,391.919651
0.4675,71,391.926419
0.9475,7,391.933251
0.9175,11,391.944192
0.385,82,391.973293
0.0,120,391.985703
0.67,44,392.002703
0.9175,11,399.728402
0.505,66,399.733333
0.0,120,399.737923
0.9925,1,399.741355
0.0,120,399.74406
0.97,4,399.744086
0.235,102,399.751235
0.925,10,399.75382
0.9475,7,399.760338
0.9625,5,399.763182
0.9625,5,399.771864
0.115,118,399.811119
0.88,16,399.843846
0.0,120,399.856223
0.5875,55,399.859602
0.6325,49,399.86512
0.9175,11,399.883907
0.0,7,399.900533
0.0,120,399.924688
0.0,120,399.93191
0.0,120,399.94298
0.9175,11,399.949944
0.7,40,399.952659
0.0,3,399.958958
0.0,47,399.961658
0.9325,9,399.964216
0.0,120,399.972658
0.9325,9,399.982119
0.9325,9,399.984889
0.0,120,400.022856
0.13,116,409.00036
0.0,120,409.000418
0.0,23,409.000433
0.0,120,409.017405
0.0,42,409.042838
0.9625,5,409.053313
0.805,26,409.055963
0.5125,65,409.070554
0.0,59,409.070591
0.0,2,409.07526
0.0,120,409.079777
0.9775,3,409.083014
0.6925,41,409.091675
0.85,20,409.10126
0.3475,87,409.11203
0.91,12,409.118562
0.0,13,409.129506
0.0,120,409.134163
0.9325,9,409.149248
0.94,8,409.151807
0.865,18,409.151833
